PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
Tyrese Haliburton,IND,73,2450,105,49,1.542857142857143,0.72,2.262857142857143
Brandon Boston,NOP,42,993,53,9,1.9214501510574018,0.3262839879154079,2.2477341389728096
Cole Anthony,MEM,67,1234,45,32,1.3128038897893028,0.9335494327390599,2.2463533225283627
Craig Porter Jr.,CLE,51,513,17,15,1.1929824561403508,1.0526315789473684,2.245614035087719
DeAndre Jordan,DEN,56,691,16,27,0.833574529667149,1.4066570188133138,2.240231548480463
Luka Dončić,LAL,50,1769,89,21,1.811192764273601,0.42736009044658,2.238552854720181
James Harden,LAC,79,2789,118,55,1.5231265686626032,0.7099318752240946,2.233058443886698
Mason Plumlee,PHX,74,1300,33,47,0.9138461538461539,1.3015384615384615,2.2153846153846155
Trey Jemison III,LAL,38,392,9,15,0.826530612244898,1.3775510204081634,2.2040816326530615
Daniel Theis,NOP,38,621,18,20,1.0434782608695652,1.1594202898550723,2.2028985507246377
Bilal Coulibaly,WAS,59,1948,78,41,1.4414784394250513,0.757700205338809,2.1991786447638604
Josh Giddey,CHI,70,2117,84,45,1.428436466698158,0.7652338214454416,2.1936702881435997
Alperen Sengun,HOU,76,2395,84,61,1.2626304801670145,0.9169102296450939,2.1795407098121085
Richaun Holmes,WAS,31,534,9,23,0.6067415730337078,1.550561797752809,2.157303370786517
Derrick Jones Jr.,LAC,77,1873,79,33,1.5184196476241325,0.6342765616657768,2.1526962092899096
Dalen Terry,CHI,73,987,44,15,1.6048632218844983,0.547112462006079,2.1519756838905773
Andrew Wiggins,MIA,60,1842,60,50,1.1726384364820848,0.977198697068404,2.1498371335504887
Ryan Dunn,PHX,74,1410,44,40,1.123404255319149,1.0212765957446808,2.1446808510638298
Brandon Williams,DAL,33,487,24,5,1.7741273100616017,0.36960985626283366,2.1437371663244353
Giannis Antetokounmpo,MIL,67,2289,58,78,0.9121887287024902,1.2267365661861076,2.138925294888598
