PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,TOV,Usage_pg,TOV_per36,LowTO_HighUsage_Index
Zaccharie Risacher,ATL,75,1843,942,779,149,92,11.2608,1.797069994574064,6.2661999999999995
Jalen Wilson,BKN,79,2031,749,620,165,79,8.767088607594937,1.4002954209748892,6.260885007744486
Julian Champagnie,SAS,82,1932,815,665,94,74,8.614146341463416,1.3788819875776397,6.2471962206108556
Myles Turner,IND,72,2174,1120,811,238,123,12.718333333333334,2.0367985280588776,6.244276573321289
Aaron Gordon,DEN,51,1447,748,497,179,73,11.289411764705882,1.816171389080857,6.21604978064285
Stephen Curry,GSW,70,2252,1718,1258,299,200,19.85085714285714,3.197158081705151,6.208906984126983
Jaylen Clark,MIN,40,522,163,120,37,8,3.407,0.5517241379310345,6.1751875
Gabe Vincent,LAL,72,1527,460,420,21,41,5.961666666666667,0.9666011787819254,6.167659214092141
Bennedict Mathurin,IND,72,2149,1156,853,332,135,13.876111111111111,2.261516984644021,6.135753657978966
Jarrett Allen,CLE,82,2296,1103,640,277,97,9.291219512195122,1.5209059233449478,6.109003436426116
Royce O'Neale,PHX,75,1837,680,570,26,65,7.752533333333334,1.2738160043549265,6.086069971509972
Evan Mobley,CLE,71,2167,1316,906,305,145,14.650704225352113,2.4088601753576375,6.082006907344449
Caris LeVert,ATL,64,1596,776,599,155,76,10.425,1.7142857142857142,6.081250000000001
RJ Barrett,TOR,58,1869,1223,982,311,165,19.290344827586207,3.178170144462279,6.069638801811216
Alperen Sengun,HOU,76,2395,1451,1143,428,194,17.51736842105263,2.9160751565762006,6.00717316271779
Deandre Ayton,POR,40,1206,576,468,60,69,12.36,2.0597014925373136,6.000869565217391
Dyson Daniels,ATL,76,2571,1073,923,140,155,12.955263157894738,2.1703617269544924,5.969172325976231
Lonnie Walker IV,PHI,20,477,247,212,30,25,11.26,1.8867924528301887,5.9677999999999995
Alex Sarr,WAS,67,1814,869,828,165,114,13.441791044776119,2.262403528114664,5.941376451077943
Justin Edwards,PHI,44,1155,445,378,46,49,9.05090909090909,1.5272727272727273,5.926190476190476
Ayo Dosunmu,CHI,46,1394,566,449,79,69,10.516521739130434,1.781922525107604,5.9017839389484
Peyton Watson,DEN,68,1656,551,428,137,56,7.180588235294117,1.217391304347826,5.898340336134454
Scottie Barnes,TOR,65,2134,1252,1063,302,185,18.398153846153846,3.120899718837863,5.89514419034419
LaMelo Ball,CHA,47,1505,1184,1003,229,167,23.484255319148936,3.99468438538206,5.8788762899732445
Ziaire Williams,BKN,63,1541,632,520,123,67,9.113015873015874,1.5652173913043477,5.82220458553792
Victor Wembanyama,SAS,46,1527,1116,857,189,149,20.438260869565216,3.512770137524558,5.818274486917614
Spencer Dinwiddie,DAL,79,2136,872,682,243,102,9.98632911392405,1.7191011235955056,5.809041118557127
Desmond Bane,ORL,69,2205,1327,1018,198,169,16.01623188405797,2.7591836734693875,5.804699425435211
Tyus Jones,PHX,81,2174,829,683,57,91,8.74172839506173,1.5068997240110396,5.801134777431074
Darius Garland,CLE,75,2301,1544,1174,255,189,17.149333333333335,2.956975228161669,5.799620223398001
Jared McCain,PHI,23,592,352,274,56,37,12.984347826086957,2.25,5.770821256038648
Caleb Houstan,ORL,58,788,239,190,17,13,3.4048275862068964,0.5939086294416244,5.7329148246389625
Trey Lyles,SAC,69,1350,451,374,80,39,5.930434782608695,1.04,5.702341137123745
P.J. Washington,DAL,57,1835,836,665,198,118,13.195087719298245,2.314986376021799,5.699855453133774
Josh Hart,NYK,77,2897,1051,770,205,158,11.171428571428573,1.9634104245771486,5.689808117339764
Mouhamed Gueye,ATL,33,533,197,171,42,15,5.741818181818181,1.0131332082551594,5.667387205387206
Max Christie,DAL,78,2127,749,590,152,88,8.42153846153846,1.4894217207334273,5.654233682983683
Buddy Hield,GSW,82,1863,912,786,64,91,9.928780487804877,1.7584541062801933,5.646311980702224
Malik Monk,SAC,65,2054,1117,939,178,159,15.651076923076923,2.7867575462512173,5.616232005590496
Jalen Johnson,ATL,36,1284,680,542,126,106,16.595555555555556,2.9719626168224296,5.584039133473096
Tristan da Silva,ORL,74,1629,533,483,63,56,6.901621621621622,1.2375690607734808,5.576756756756756
Noah Clowney,BKN,46,1042,420,372,80,46,8.852173913043478,1.5892514395393473,5.570027305187986
Terance Mann,ATL,67,1414,517,413,68,47,6.610746268656716,1.1966053748231966,5.524583465650471
DaQuan Jeffries,CHA,47,1071,315,291,30,35,6.472340425531915,1.1764705882352942,5.501489361702127
Clint Capela,ATL,55,1176,488,390,97,47,7.866909090909091,1.4387755102040818,5.467780786589296
Nic Claxton,BKN,70,1882,724,568,154,87,9.082285714285714,1.6641870350690753,5.457490968801314
