PLAYER,TEAM,GP,MIN,PTS,REB_pg,AST_pg,STL_pg,BLK_pg,StatStuffer_pg,REB_per36,AST_per36,STL_per36,BLK_per36,StatStuffer_per36
Bam Adebayo,MIA,78,2674,1410,9.602564102564102,4.32051282051282,1.2564102564102564,0.6794871794871795,15.858974358974358,10.083769633507853,4.537023186237846,1.319371727748691,0.7135377711293942,16.653702318623786
Jarred Vanderbilt,LAL,36,581,147,5.055555555555555,1.1388888888888888,0.9722222222222222,0.2777777777777778,7.444444444444445,11.27710843373494,2.540447504302926,2.1686746987951806,0.6196213425129087,16.605851979345957
Josh Hart,NYK,77,2897,1051,9.571428571428571,5.883116883116883,1.5454545454545454,0.35064935064935066,17.350649350649352,9.158439765274421,5.629271660338281,1.4787711425612704,0.33551950293406974,16.602002071108043
T.J. McConnell,IND,79,1415,720,2.4430379746835444,4.443037974683544,1.0506329113924051,0.26582278481012656,8.20253164556962,4.9102473498233214,8.930035335689047,2.111660777385159,0.5342756183745583,16.486219081272086
Amen Thompson,HOU,69,2225,970,8.173913043478262,3.8405797101449277,1.4057971014492754,1.289855072463768,14.710144927536232,9.125393258426966,4.287640449438202,1.569438202247191,1.44,16.42247191011236
Jonathan Isaac,ORL,71,1090,380,4.422535211267606,0.5633802816901409,0.8591549295774648,1.1267605633802817,6.971830985915494,10.370642201834864,1.3211009174311927,2.014678899082569,2.6422018348623855,16.34862385321101
Isaiah Stewart,DET,72,1434,435,5.541666666666667,1.7083333333333333,0.3888888888888889,1.4027777777777777,9.041666666666668,10.01673640167364,3.087866108786611,0.702928870292887,2.5355648535564854,16.343096234309623
Kel'el Ware,MIA,64,1422,595,7.390625,0.9375,0.609375,1.109375,10.046875,11.974683544303797,1.5189873417721518,0.9873417721518988,1.7974683544303798,16.278481012658226
Luke Kornet,BOS,73,1361,441,5.315068493150685,1.6027397260273972,0.4931506849315068,0.9726027397260274,8.383561643835616,10.263041880969874,3.09478324761205,0.9522409992652461,1.8780308596620132,16.188096987509184
Rudy Gobert,MIN,72,2388,866,10.902777777777779,1.7638888888888888,0.7777777777777778,1.4444444444444444,14.888888888888891,11.834170854271358,1.914572864321608,0.8442211055276382,1.5678391959798994,16.160804020100503
Deandre Ayton,POR,40,1206,576,10.15,1.6,0.775,0.975,13.5,12.119402985074627,1.9104477611940298,0.9253731343283582,1.164179104477612,16.11940298507463
Chris Paul,SAS,82,2292,723,3.6097560975609757,7.378048780487805,1.2560975609756098,0.2682926829268293,12.512195121951219,4.649214659685864,9.50261780104712,1.617801047120419,0.3455497382198953,16.115183246073297
Jayson Tatum,BOS,72,2624,1932,8.652777777777779,5.986111111111111,1.0555555555555556,0.5277777777777778,16.22222222222222,8.547256097560975,5.913109756097561,1.0426829268292683,0.5213414634146342,16.024390243902438
Trae Young,ATL,76,2739,1841,3.1052631578947367,11.578947368421053,1.1973684210526316,0.15789473684210525,16.039473684210527,3.1018619934282587,11.566265060240964,1.1960569550930997,0.15772179627601313,16.021905805038337
Drew Eubanks,LAC,61,746,280,3.7049180327868854,0.8852459016393442,0.19672131147540983,0.639344262295082,5.426229508196721,10.906166219839141,2.605898123324397,0.579088471849866,1.8820375335120643,15.97319034852547
Nic Claxton,BKN,70,1882,724,7.357142857142857,2.242857142857143,0.8857142857142857,1.4285714285714286,11.914285714285715,9.851222104144528,3.0031880977683314,1.185972369819341,1.9128586609989373,15.953241232731138
Tyrese Haliburton,IND,73,2450,1359,3.5342465753424657,9.219178082191782,1.4383561643835616,0.6712328767123288,14.863013698630137,3.7910204081632655,9.888979591836735,1.542857142857143,0.72,15.942857142857143
Scotty Pippen Jr.,MEM,79,1683,779,3.278481012658228,4.3924050632911396,1.3037974683544304,0.379746835443038,9.354430379746836,5.540106951871658,7.422459893048129,2.2032085561497325,0.6417112299465241,15.807486631016044
Kelly Olynyk,NOP,44,891,384,4.681818181818182,2.909090909090909,0.75,0.4318181818181818,8.772727272727272,8.323232323232324,5.171717171717172,1.3333333333333333,0.7676767676767677,15.595959595959597
