PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Noah Clowney,BKN,46,1042,43,138,181,5.4088050314465415,6.3594470046082945,6.104553119730186
Karlo Matković,NOP,42,791,64,145,209,6.729758149316509,5.842062852538275,6.087969705796679
Richaun Holmes,WAS,31,534,62,115,177,9.351432880844646,5.120213713268032,6.084565142660709
Brice Sensabaugh,UTA,71,1432,42,168,210,4.640883977900553,6.5420560747663545,6.046645551396487
Kelly Olynyk,NOP,44,891,62,144,206,6.5194532071503675,5.801772763900081,6.000582580833091
Ja Morant,MEM,50,1519,34,171,205,3.5343035343035343,6.831801837794646,5.916305916305916
Javonte Green,CLE,68,1258,59,159,218,6.441048034934497,5.727665706051873,5.90465872156013
Jalen Brunson,NYK,65,2301,27,160,187,3.515625,6.661115736885928,5.899053627760252
Cole Anthony,MEM,67,1234,46,158,204,4.781704781704782,6.3124250898921295,5.887445887445888
Jabari Walker,POR,60,749,59,152,211,5.539906103286385,6.026962727993656,5.88235294117647
Max Strus,CLE,50,1273,53,164,217,5.786026200873363,5.9077809798270895,5.877573131094258
Dejounte Murray,NOP,31,1012,17,183,200,1.7875920084121977,7.373086220789686,5.825808330905914
T.J. McConnell,IND,79,1415,44,149,193,6.179775280898876,5.693542223920519,5.797536797837188
Darius Garland,CLE,75,2301,47,167,214,5.131004366812228,6.015850144092219,5.796316359696641
Moses Moody,GSW,74,1649,52,137,189,5.591397849462366,5.797714769360981,5.739447312481021
Gradey Dick,TOR,54,1587,44,149,193,4.646251319957761,6.167218543046358,5.738923580136782
Kyle Anderson,MIA,61,1002,53,153,206,6.625,5.452601568068425,5.712701053799223
Ronald Holland II,DET,81,1266,40,178,218,4.250797024442083,6.182702327196943,5.706806282722513
Simone Fontecchio,DET,75,1237,52,163,215,5.526036131774708,5.661688086141021,5.6282722513089
Gary Payton II,GSW,62,927,53,132,185,5.698924731182796,5.586119339822259,5.617977528089887
Malik Beasley,DET,82,2283,47,167,214,4.994686503719448,5.800625217089267,5.602094240837696
Jarred Vanderbilt,LAL,36,581,68,114,182,8.91218872870249,4.576475311120031,5.593116164720344
Scoot Henderson,POR,66,1759,52,146,198,4.882629107981221,5.789056304520222,5.5199330917201
Fred VanVleet,HOU,60,2111,32,189,221,2.666666666666667,6.7164179104477615,5.5057299451918285
Isaiah Joe,OKC,74,1604,41,155,196,4.904306220095694,5.688073394495413,5.5040718899185626
Tyus Jones,PHX,81,2174,40,156,196,4.944375772558715,5.656272661348803,5.494813568825344
Spencer Dinwiddie,DAL,79,2136,18,191,209,1.910828025477707,6.655052264808363,5.482686253934943
Norman Powell,LAC,60,1958,21,169,190,2.644836272040302,6.3059701492537314,5.469199769717904
D'Angelo Russell,BKN,58,1480,20,142,162,2.515723270440252,6.5437788018433185,5.463743676222597
Kevin Huerter,CHI,69,1679,30,175,205,3.4924330616996504,6.019951840385277,5.443441317047265
Grayson Allen,PHX,64,1544,34,160,194,4.202719406674907,5.8013052936910805,5.43874404261284
Caris LeVert,ATL,64,1596,41,162,203,4.091816367265469,5.92755214050494,5.435073627844712
Keon Ellis,SAC,80,1948,60,152,212,6.128702757916241,5.193030406559617,5.427547363031234
Trendon Watford,BKN,44,913,37,123,160,4.654088050314465,5.668202764976959,5.396290050590219
Aaron Nesmith,IND,45,1122,37,141,178,5.196629213483146,5.387848681696599,5.346951036347251
Terance Mann,ATL,67,1414,68,131,199,6.786427145708583,4.793267471642883,5.327978580990629
